tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth year,gender,birth_year,duration_min,start_hour,start_wday,is_weekend,start_month,dist_m,dist_km,speed_km_min,route_key,n_route_hour,med_dur,mad_dur,n_route,med_dur_route,mad_dur_route,exp_dur,exp_mad,z_robust,ratio,proxy_anom,proxy_anom_hard,age,gender_f,iforest_score,iforest_anom
1759,2015-01-10T11:08:00Z,2015-01-10T11:37:00Z,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,143,EF - North Point Park,42.369885,-71.069957,876,Customer,1988,2,1988,29.316666666666666,11,6,1,1,2318.476940727783,2.318476940727783,0.0790839206615503,67->143,1,29.316666666666666,0,4,19.908333333333335,12.626809999999997,6.766666666666667,3.4841099999999994,6.472241117530734,4.332512315270936,0,1,38,2,0.6518988045661028,1
1803,2015-01-10T12:28:00Z,2015-01-10T12:58:00Z,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,1108,Customer,1954,1,1954,30.05,12,6,1,1,1690.2482080802579,1.6902482080802579,0.056247860501838866,105->67,2,19.433333333333334,15.74027,15,9.466666666666667,1.9768000000000008,6.766666666666667,3.4841099999999994,6.682720503466693,4.44088669950739,0,1,72,1,0.6428032591105538,1
2476,2015-01-10T13:52:00Z,2015-01-10T14:33:00Z,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,1314,Customer,1954,1,1954,41.266666666666666,13,6,1,1,1254.8375643174502,1.25483756431745,0.03040801852142448,68->105,3,6.716666666666667,2.91578,40,6.283333333333333,1.6926350000000006,6.283333333333333,1.6926350000000006,20.66797232323172,6.56763925729443,1,1,72,1,0.6594834814476079,1
1867,2015-01-10T20:13:00Z,2015-01-10T20:44:00Z,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,1269,Customer,1986,1,1986,31.116666666666667,20,6,1,1,509.33437858038417,0.5093343785803842,0.016368539215223916,110->74,1,31.116666666666667,0,15,5.383333333333334,0.7907200000000011,6.766666666666667,3.4841099999999994,6.98887233755536,4.598522167487685,0,1,40,1,0.6341446472901314,1
104,2015-01-10T21:32:00Z,2015-01-10T21:34:00Z,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,741,Customer,1984,2,1984,1.7333333333333334,21,6,1,1,495.3200026173601,0.4953200026173601,0.2857615399715539,116->76,1,1.7333333333333334,0,68,3,0.457135,3,0.457135,-2.7708809578497964,0.5777777777777778,0,0,42,2,0.6437736375055045,1
1475,2015-01-10T22:59:00Z,2015-01-10T23:24:00Z,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,118,Linear Park - Mass. Ave. at Cameron Ave.,42.397828,-71.130516,1080,Subscriber,1964,1,1964,24.583333333333332,22,6,1,1,4746.412079895402,4.746412079895402,0.19307438969066043,91->118,2,23.666666666666664,1.359049999999999,18,22.275,2.335094999999999,6.766666666666667,3.4841099999999994,5.113692353762272,3.633004926108374,0,0,62,1,0.6295953786039966,1
2718,2015-01-11T07:48:00Z,2015-01-11T08:34:00Z,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,1290,Subscriber,\N,0,NA,45.3,7,7,1,1,1124.9021025674958,1.124902102567496,0.02483227599486746,68->67,5,4.65,0.6671700000000003,51,5.083333333333333,1.2849200000000007,5.083333333333333,1.2849200000000007,31.29896543494275,8.911475409836065,1,1,NA,0,0.6313549662871932,1
530,2015-01-11T11:56:00Z,2015-01-11T12:04:00Z,107,Ames St at Main St,42.3625,-71.08822,107,Ames St at Main St,42.3625,-71.08822,1022,Customer,1993,1,1993,8.833333333333334,11,7,1,1,0,0,0,107->107,3,7.333333333333333,2.0262199999999995,15,9.05,4.4478,6.766666666666667,3.4841099999999994,0.5931691785467932,1.3054187192118227,0,0,33,1,0.6294615506418118,1
119,2015-01-11T12:20:00Z,2015-01-11T12:22:00Z,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,707,Customer,1970,1,1970,1.9833333333333334,12,7,1,1,0,0,0,95->95,1,1.9833333333333334,0,4,6.8916666666666675,7.820715,6.766666666666667,3.4841099999999994,-1.3728996309913677,0.2931034482758621,0,0,56,1,0.6259408010666253,1
1561,2015-01-11T12:50:00Z,2015-01-11T13:16:00Z,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,1290,Subscriber,1995,2,1995,26.016666666666666,12,7,1,1,0,0,0,67->67,5,17.85,9.636899999999999,25,22.783333333333335,8.006039999999997,22.783333333333335,8.006039999999997,0.4038617510446278,1.1419166057059253,0,0,31,2,0.648005296372007,1
1151,2015-01-11T23:20:00Z,2015-01-11T23:39:00Z,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,118,Linear Park - Mass. Ave. at Cameron Ave.,42.397828,-71.130516,1108,Subscriber,1964,1,1964,19.183333333333334,23,7,1,1,4746.412079895402,4.746412079895402,0.24742374004667603,91->118,9,22.183333333333334,2.0756399999999977,18,22.275,2.335094999999999,6.766666666666667,3.4841099999999994,3.563798693688394,2.834975369458128,0,0,62,1,0.6460506237214962,1
8813,2015-01-12T09:49:00Z,2015-01-12T12:16:00Z,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,107,Ames St at Main St,42.3625,-71.08822,784,Subscriber,1956,2,1956,146.88333333333333,9,1,0,1,1021.7495629933594,1.0217495629933595,0.006956198091410595,75->107,4,5.958333333333333,0.2100349999999999,46,6.425000000000001,1.6185050000000007,6.425000000000001,1.6185050000000007,86.78276145784737,22.861219195849543,1,1,70,2,0.6593429039033477,1
38309,2015-01-12T09:55:00Z,2015-01-12T20:33:00Z,70,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473,70,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473,690,Subscriber,\N,0,NA,638.4833333333333,9,1,0,1,0,0,0,70->70,1,638.4833333333333,0,3,56.13333333333333,61.10783,6.766666666666667,3.4841099999999994,181.31364011660563,94.35714285714286,1,1,NA,0,0.6525914476996331,1
80115,2015-01-14T12:03:00Z,2015-01-15T10:18:00Z,70,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473,1,18 Dorrance Warehouse,42.387151,-71.075978,1070,Subscriber,\N,0,NA,1335.25,12,3,0,1,4141.330652495343,4.141330652495343,0.0031015395263024473,70->1,1,1335.25,0,1,1335.25,0,6.766666666666667,3.4841099999999994,381.2977584902123,197.32758620689654,1,1,NA,0,0.66509573679499,1
1577,2015-01-16T01:24:00Z,2015-01-16T01:50:00Z,107,Ames St at Main St,42.3625,-71.08822,118,Linear Park - Mass. Ave. at Cameron Ave.,42.397828,-71.130516,1301,Customer,1987,2,1987,26.283333333333335,1,5,0,1,5250.019662756477,5.250019662756477,0.19974710194381015,107->118,1,26.283333333333335,0,2,25.558333333333334,1.074885000000002,6.766666666666667,3.4841099999999994,5.601621839341086,3.8842364532019706,0,0,39,2,0.6615934852043814,1
7435,2015-01-17T14:55:00Z,2015-01-17T16:59:00Z,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,1010,Subscriber,\N,0,NA,123.91666666666667,14,6,1,1,2832.5460919590428,2.832546091959043,0.02285847552354305,73->67,4,66.55833333333334,84.545265,9,11.666666666666666,3.7064999999999997,6.766666666666667,3.4841099999999994,33.62408190326942,18.3128078817734,1,1,NA,0,0.6527090684385011,1
7395,2015-01-17T14:56:00Z,2015-01-17T16:59:00Z,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,642,Subscriber,\N,0,NA,123.25,14,6,1,1,2832.5460919590428,2.832546091959043,0.022982118393176817,73->67,4,66.55833333333334,84.545265,9,11.666666666666666,3.7064999999999997,6.766666666666667,3.4841099999999994,33.432737006964004,18.214285714285715,1,1,NA,0,0.6527090684385011,1
2410,2015-01-17T17:37:00Z,2015-01-17T18:17:00Z,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,1111,Subscriber,\N,0,NA,40.166666666666664,17,6,1,1,0,0,0,68->68,2,40.30833333333334,0.21003500000000386,12,11.524999999999999,13.083945000000002,6.766666666666667,3.4841099999999994,9.586379304901396,5.9359605911330044,0,1,NA,0,0.6302980567655752,1
2427,2015-01-17T17:36:00Z,2015-01-17T18:17:00Z,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,1092,Subscriber,\N,0,NA,40.45,17,6,1,1,0,0,0,68->68,2,40.30833333333334,0.21003500000000386,12,11.524999999999999,13.083945000000002,6.766666666666667,3.4841099999999994,9.6677008858312,5.977832512315271,0,1,NA,0,0.6302980567655752,1
1405,2015-01-17T20:43:00Z,2015-01-17T21:06:00Z,118,Linear Park - Mass. Ave. at Cameron Ave.,42.397828,-71.130516,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,1004,Customer,1961,1,1961,23.416666666666668,20,6,1,1,4056.1797370336894,4.056179737033689,0.17321764001567355,118->76,2,22.78333333333333,0.9389800000000019,14,21.35,0.815430000000001,6.766666666666667,3.4841099999999994,4.7788387852277925,3.460591133004926,0,0,65,1,0.6488123759213206,1
